,HOME_TEAM,AWAY_TEAM,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,RESULT,DATE
60,Utah Jazz,LA Clippers,0.8,0.473,0.376,0.778,43.8,21.0,18.8,7.7,3.6,8.7,101.8,93.1,0.578,0.6,0.511,0.397,0.794,40.5,23.5,17.4,7.3,5.1,4.3,115.0,109.8,0.621,1,10/30/2019
61,Sacramento Kings,Charlotte Hornets,0.0,0.41,0.331,0.745,41.1,20.0,17.8,7.3,4.5,-16.8,97.4,114.0,0.508,0.4,0.463,0.419,0.72,41.2,24.7,19.0,5.6,3.7,-9.3,104.9,114.2,0.573,0,10/30/2019
62,Washington Wizards,Houston Rockets,0.25,0.479,0.382,0.797,41.7,25.7,15.2,5.7,5.0,0.2,113.6,113.6,0.584,0.75,0.451,0.325,0.815,42.8,24.6,13.8,6.7,4.8,0.5,117.7,117.2,0.587,0,10/30/2019
63,Toronto Raptors,Detroit Pistons,0.8,0.463,0.38,0.878,46.5,22.7,18.0,7.3,4.7,8.8,107.5,99.1,0.591,0.4,0.478,0.418,0.75,41.2,23.1,18.7,5.7,4.3,-4.7,106.3,110.4,0.583,1,10/30/2019
64,Oklahoma City Thunder,Portland Trail Blazers,0.2,0.434,0.326,0.721,49.2,17.4,18.0,6.8,3.9,0.8,99.0,97.7,0.53,0.6,0.449,0.365,0.828,44.2,16.4,15.3,6.8,5.5,0.8,104.7,103.8,0.556,0,10/30/2019
65,LA Clippers,San Antonio Spurs,0.667,0.496,0.367,0.784,41.5,22.2,16.5,7.6,4.4,4.6,112.9,107.5,0.599,0.75,0.475,0.337,0.759,48.6,21.8,16.0,5.5,6.2,1.9,108.6,106.2,0.56,1,10/31/2019
66,Atlanta Hawks,Miami Heat,0.4,0.456,0.292,0.695,43.8,23.7,17.4,8.9,5.1,-1.0,102.0,103.4,0.542,0.8,0.47,0.392,0.721,43.5,22.9,19.2,8.5,6.5,7.6,106.6,99.3,0.583,0,10/31/2019
67,New Orleans Pelicans,Denver Nuggets,0.2,0.465,0.38,0.743,40.9,28.3,15.0,7.2,4.6,-2.6,112.2,114.2,0.576,0.6,0.426,0.346,0.823,45.8,22.4,14.4,7.4,5.0,-0.4,106.0,107.3,0.529,1,10/31/2019
68,Golden State Warriors,San Antonio Spurs,0.2,0.423,0.331,0.866,42.5,24.7,14.2,7.6,2.3,-12.1,107.8,120.4,0.543,0.8,0.474,0.346,0.782,49.3,22.1,15.1,5.2,5.4,4.8,112.4,107.1,0.568,0,11/01/2019
69,Chicago Bulls,Detroit Pistons,0.333,0.415,0.312,0.775,41.2,22.0,12.3,8.5,3.9,-3.9,105.1,108.9,0.516,0.333,0.479,0.38,0.75,42.1,22.7,18.3,6.6,4.9,-4.9,106.1,110.7,0.578,1,11/01/2019
70,Brooklyn Nets,Houston Rockets,0.4,0.463,0.419,0.689,46.2,20.8,18.2,7.0,5.1,-0.2,108.8,108.4,0.575,0.6,0.443,0.31,0.815,41.5,23.5,13.2,7.7,4.6,-0.9,115.2,116.1,0.574,1,11/01/2019
71,Boston Celtics,New York Knicks,0.8,0.417,0.35,0.76,45.7,21.5,11.4,7.7,5.3,5.5,106.9,101.4,0.527,0.167,0.419,0.356,0.673,48.3,19.3,17.4,8.3,4.8,-7.1,100.5,107.8,0.512,1,11/01/2019
72,Orlando Magic,Milwaukee Bucks,0.4,0.391,0.296,0.761,46.5,21.3,12.9,8.5,5.2,-4.8,95.4,99.8,0.48,0.6,0.478,0.352,0.664,46.7,23.4,12.9,7.0,5.4,7.2,110.7,103.7,0.586,0,11/01/2019
73,Indiana Pacers,Cleveland Cavaliers,0.4,0.439,0.325,0.846,42.7,23.3,12.5,8.5,4.9,-1.0,103.4,104.6,0.521,0.4,0.441,0.331,0.75,46.9,21.1,16.1,6.1,3.9,-3.1,102.2,105.3,0.538,1,11/01/2019
74,Dallas Mavericks,Los Angeles Lakers,0.6,0.441,0.327,0.735,46.9,22.9,14.4,6.2,4.0,1.3,109.4,108.1,0.554,0.8,0.464,0.324,0.79,43.5,22.8,13.9,8.7,7.5,10.8,107.5,97.3,0.558,0,11/01/2019
75,Sacramento Kings,Utah Jazz,0.167,0.422,0.324,0.739,41.0,19.3,17.8,7.5,4.3,-14.0,99.2,112.6,0.516,0.667,0.474,0.379,0.77,42.7,20.6,18.6,8.4,3.9,7.1,102.4,95.6,0.581,1,11/01/2019
76,Golden State Warriors,Charlotte Hornets,0.167,0.426,0.33,0.858,42.7,24.8,15.0,7.3,2.8,-11.3,106.0,117.5,0.54,0.5,0.456,0.385,0.716,42.8,23.9,18.3,5.8,3.3,-6.9,104.3,111.4,0.559,0,11/02/2019
77,Orlando Magic,Denver Nuggets,0.333,0.397,0.283,0.748,47.0,21.7,13.5,8.5,5.6,-4.7,94.9,99.3,0.48,0.667,0.418,0.343,0.796,45.5,21.4,14.5,7.6,4.7,0.3,104.5,104.9,0.525,0,11/02/2019
78,Detroit Pistons,Brooklyn Nets,0.429,0.474,0.368,0.757,41.8,22.4,16.8,6.8,5.2,-3.7,106.8,110.0,0.573,0.333,0.463,0.403,0.696,46.3,21.2,17.7,6.5,4.9,-0.8,108.4,108.8,0.57,1,11/02/2019
79,Portland Trail Blazers,Philadelphia 76ers,0.5,0.468,0.401,0.816,42.5,17.0,15.6,6.8,5.2,0.5,107.6,106.8,0.581,1.0,0.464,0.315,0.748,46.9,25.4,17.6,10.7,6.5,8.4,107.5,99.6,0.556,0,11/02/2019
80,Milwaukee Bucks,Toronto Raptors,0.667,0.475,0.351,0.688,47.4,24.5,12.8,6.6,5.6,7.6,111.5,103.7,0.584,0.667,0.454,0.386,0.879,45.7,22.9,17.4,6.9,4.9,5.8,106.9,101.7,0.585,1,11/02/2019
81,Washington Wizards,Minnesota Timberwolves,0.2,0.461,0.374,0.812,39.9,24.1,15.1,6.5,4.7,-3.9,109.3,113.7,0.568,0.8,0.454,0.325,0.752,41.8,22.1,16.3,9.8,4.9,5.4,106.7,101.3,0.562,0,11/02/2019
82,Memphis Grizzlies,Phoenix Suns,0.2,0.428,0.288,0.752,43.2,22.8,17.3,8.2,6.2,-11.7,97.1,108.7,0.514,0.667,0.463,0.375,0.826,41.7,26.9,15.5,8.7,3.5,8.7,109.2,100.6,0.578,0,11/02/2019
83,Oklahoma City Thunder,New Orleans Pelicans,0.333,0.438,0.343,0.73,48.1,17.8,17.0,6.9,5.0,2.4,101.1,98.2,0.538,0.167,0.458,0.375,0.717,43.1,27.7,15.1,7.2,4.7,-3.9,110.4,113.8,0.564,1,11/02/2019
84,San Antonio Spurs,Los Angeles Lakers,0.667,0.462,0.329,0.789,48.7,22.1,15.5,6.1,5.2,2.9,109.2,105.6,0.557,0.833,0.467,0.314,0.775,43.6,22.3,14.5,8.5,7.9,10.1,105.9,96.6,0.555,0,11/03/2019
85,New York Knicks,Sacramento Kings,0.143,0.416,0.341,0.668,47.1,19.2,16.9,8.0,4.9,-9.2,99.7,109.0,0.51,0.286,0.43,0.333,0.721,42.5,20.2,17.4,7.5,4.4,-9.0,101.6,110.1,0.526,0,11/03/2019
86,LA Clippers,Utah Jazz,0.714,0.48,0.344,0.781,43.5,21.3,15.5,7.5,4.7,5.5,112.4,106.1,0.582,0.571,0.463,0.37,0.759,42.1,20.0,18.1,7.8,4.2,4.5,101.6,97.5,0.571,1,11/03/2019
87,Cleveland Cavaliers,Dallas Mavericks,0.333,0.435,0.341,0.739,46.0,21.6,15.0,6.6,4.0,-5.9,103.8,109.9,0.536,0.667,0.457,0.354,0.744,47.7,24.8,14.4,6.0,4.4,4.4,113.3,108.7,0.571,0,11/03/2019
88,Miami Heat,Houston Rockets,0.833,0.48,0.401,0.727,43.3,24.8,18.7,9.2,6.4,10.7,108.4,98.2,0.595,0.5,0.436,0.307,0.808,40.4,22.5,14.4,7.4,4.6,-5.2,111.5,116.3,0.569,1,11/03/2019
89,Indiana Pacers,Chicago Bulls,0.5,0.444,0.322,0.822,43.4,23.9,13.3,8.0,5.7,1.3,103.4,102.3,0.527,0.286,0.417,0.312,0.742,41.1,22.6,13.0,8.4,3.6,-5.2,103.1,108.1,0.514,1,11/03/2019
90,Golden State Warriors,Portland Trail Blazers,0.286,0.434,0.336,0.869,43.3,25.2,14.3,6.8,2.9,-8.5,108.9,117.6,0.552,0.429,0.465,0.387,0.814,42.7,16.9,14.3,6.5,5.3,-0.8,109.0,109.5,0.573,1,11/04/2019
91,Phoenix Suns,Philadelphia 76ers,0.714,0.471,0.377,0.819,41.1,26.3,16.0,8.3,3.7,8.1,108.9,101.1,0.587,0.833,0.465,0.335,0.728,45.2,24.5,17.8,10.6,5.8,6.3,106.9,100.9,0.557,1,11/04/2019
92,Brooklyn Nets,New Orleans Pelicans,0.429,0.473,0.401,0.704,45.4,22.3,18.1,7.3,4.6,0.7,110.3,109.2,0.581,0.143,0.463,0.379,0.723,41.9,26.0,15.6,8.2,4.6,-4.6,110.6,114.9,0.567,1,11/04/2019
93,Minnesota Timberwolves,Milwaukee Bucks,0.667,0.437,0.321,0.767,41.9,21.4,16.0,9.9,4.7,0.3,104.8,104.4,0.545,0.714,0.484,0.352,0.684,47.9,24.0,13.1,6.6,5.6,10.2,112.7,102.5,0.591,0,11/04/2019
94,Washington Wizards,Detroit Pistons,0.333,0.461,0.361,0.817,40.2,24.6,14.7,6.9,5.0,-0.8,110.6,111.5,0.566,0.375,0.467,0.382,0.76,41.9,22.2,17.3,6.4,5.7,-5.2,105.9,110.9,0.568,1,11/04/2019
95,Memphis Grizzlies,Houston Rockets,0.167,0.428,0.265,0.761,44.2,22.1,16.9,8.9,6.3,-10.9,97.1,107.8,0.509,0.571,0.427,0.312,0.793,41.6,22.1,14.8,7.1,4.6,-3.6,110.3,113.7,0.56,0,11/04/2019
96,Chicago Bulls,Los Angeles Lakers,0.25,0.427,0.326,0.715,41.0,22.4,13.3,8.7,3.7,-5.3,103.7,108.7,0.523,0.857,0.47,0.317,0.765,44.0,22.7,14.6,8.7,8.1,9.5,106.9,98.2,0.558,0,11/05/2019
97,Cleveland Cavaliers,Boston Celtics,0.286,0.433,0.349,0.763,45.4,21.5,14.1,6.1,4.2,-5.9,104.6,110.7,0.536,0.833,0.44,0.357,0.757,45.3,21.8,11.8,7.2,6.4,5.6,108.3,102.8,0.546,0,11/05/2019
98,Atlanta Hawks,San Antonio Spurs,0.5,0.46,0.304,0.694,44.3,23.3,17.4,8.9,5.1,0.5,102.5,102.5,0.544,0.571,0.456,0.314,0.778,47.5,21.5,15.4,6.5,5.5,1.4,107.6,105.5,0.548,1,11/05/2019
99,Denver Nuggets,Miami Heat,0.714,0.433,0.348,0.78,45.8,23.4,15.3,7.9,4.5,3.2,105.5,102.9,0.534,0.714,0.463,0.39,0.716,43.5,24.7,18.3,9.6,6.3,6.7,106.1,99.9,0.574,1,11/05/2019
