,HOME_TEAM,AWAY_TEAM,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,RESULT,DATE
0,LA Clippers,Los Angeles Lakers,1.0,0.519,0.355,0.708,46.4,24.7,14.4,8.2,5.2,10.3,115.5,105.2,0.612,0.0,0.435,0.394,0.714,42.3,20.6,15.5,4.1,7.2,-10.3,105.2,115.5,0.541,1,10/22/2019
1,Toronto Raptors,New Orleans Pelicans,1.0,0.408,0.35,0.842,49.6,20.0,14.8,6.1,2.6,7.0,113.0,108.9,0.543,0.0,0.422,0.422,0.85,47.3,26.8,17.0,3.6,8.0,-7.1,108.9,113.0,0.551,1,10/22/2019
2,Philadelphia 76ers,Boston Celtics,1.0,0.435,0.241,0.722,60.2,23.3,16.5,5.8,6.8,13.6,103.9,90.3,0.531,0.0,0.367,0.269,0.588,39.8,17.5,10.7,3.9,1.9,-13.6,90.3,103.9,0.443,1,10/23/2019
3,San Antonio Spurs,New York Knicks,1.0,0.506,0.333,0.806,46.8,20.2,19.3,5.5,4.6,8.3,110.1,100.9,0.607,0.0,0.468,0.333,0.722,35.5,21.8,12.7,14.5,0.9,-8.2,100.9,110.1,0.545,1,10/23/2019
4,Phoenix Suns,Sacramento Kings,1.0,0.5,0.333,0.833,40.0,28.2,12.7,11.8,8.2,26.4,112.7,88.0,0.585,0.0,0.391,0.345,0.654,43.5,15.7,25.0,4.6,4.6,-26.9,88.0,112.7,0.483,1,10/23/2019
5,Brooklyn Nets,Minnesota Timberwolves,0.0,0.475,0.441,0.577,41.0,16.2,13.7,6.8,7.7,-0.9,107.7,106.7,0.56,1.0,0.426,0.302,0.786,43.7,19.3,10.9,7.6,3.4,0.8,106.7,107.7,0.528,0,10/23/2019
6,Orlando Magic,Cleveland Cavaliers,1.0,0.43,0.3,0.579,46.0,24.0,13.0,12.0,4.0,9.0,94.0,85.0,0.498,0.0,0.375,0.265,0.667,54.0,20.0,16.0,8.0,2.0,-9.0,85.0,94.0,0.449,1,10/23/2019
7,Miami Heat,Memphis Grizzlies,1.0,0.471,0.389,0.846,44.7,15.8,18.4,7.9,7.0,16.7,105.3,88.6,0.587,0.0,0.427,0.156,0.667,35.1,19.3,21.1,7.9,6.1,-16.7,88.6,105.3,0.494,1,10/23/2019
8,Portland Trail Blazers,Denver Nuggets,0.0,0.414,0.25,0.913,47.1,12.7,19.6,8.8,3.9,-7.8,98.0,104.9,0.515,1.0,0.42,0.563,0.815,43.7,23.3,19.4,10.7,3.9,7.8,104.9,98.0,0.581,0,10/23/2019
9,Indiana Pacers,Detroit Pistons,0.0,0.461,0.381,0.833,35.0,25.2,14.6,7.8,5.8,-8.7,106.8,115.5,0.552,1.0,0.526,0.458,0.788,43.7,25.2,17.5,4.9,5.8,8.7,115.5,106.8,0.643,0,10/23/2019
10,Utah Jazz,Oklahoma City Thunder,1.0,0.444,0.25,0.7,48.5,14.9,10.9,4.0,5.0,5.0,99.0,94.1,0.506,0.0,0.386,0.37,0.677,47.5,14.9,15.8,5.0,4.0,-5.0,94.1,99.0,0.492,1,10/23/2019
11,Dallas Mavericks,Washington Wizards,1.0,0.461,0.306,0.818,44.2,16.3,19.2,5.8,4.8,7.7,103.8,96.2,0.597,0.0,0.398,0.268,0.833,45.2,25.0,16.3,5.8,2.9,-7.7,96.2,103.8,0.495,1,10/23/2019
12,Charlotte Hornets,Chicago Bulls,1.0,0.511,0.523,0.813,39.0,26.7,18.1,2.9,3.8,1.0,120.0,120.2,0.663,0.0,0.467,0.3,0.818,47.1,24.0,11.5,10.6,3.8,-1.0,120.2,120.0,0.545,1,10/23/2019
13,Golden State Warriors,LA Clippers,0.0,0.394,0.357,0.967,38.9,25.0,12.0,6.5,0.0,-17.6,113.0,133.0,0.544,1.0,0.571,0.46,0.741,41.4,28.1,16.7,7.4,4.9,14.3,124.6,109.3,0.685,0,10/24/2019
14,Houston Rockets,Milwaukee Bucks,0.0,0.367,0.333,0.744,52.3,22.9,12.8,5.5,5.5,-5.5,101.8,107.3,0.518,1.0,0.465,0.348,0.5,48.6,28.4,10.1,6.4,9.2,5.5,107.3,101.8,0.547,0,10/24/2019
15,Detroit Pistons,Atlanta Hawks,0.5,0.466,0.344,0.836,42.2,23.1,16.1,5.5,5.5,-4.0,110.1,112.9,0.585,1.0,0.512,0.355,0.857,42.9,27.6,13.3,9.2,2.0,17.3,119.4,104.2,0.614,0,10/24/2019
16,Los Angeles Lakers,Utah Jazz,0.5,0.415,0.356,0.756,43.0,20.2,15.0,9.3,8.3,-0.5,102.1,103.1,0.516,0.5,0.431,0.286,0.829,45.4,17.3,17.3,6.1,3.6,-2.0,94.9,96.4,0.522,1,10/25/2019
17,Brooklyn Nets,New York Knicks,0.5,0.475,0.437,0.633,41.6,17.7,18.6,8.4,4.9,1.3,105.8,103.5,0.582,0.0,0.469,0.491,0.63,35.6,18.7,18.3,13.7,2.3,-5.9,100.5,106.9,0.563,1,10/25/2019
18,Boston Celtics,Toronto Raptors,0.5,0.377,0.313,0.7,46.6,18.8,10.1,6.7,4.8,-3.8,98.6,102.9,0.464,0.5,0.436,0.421,0.836,47.0,20.5,18.3,4.1,4.1,0.9,107.8,107.8,0.575,1,10/25/2019
19,Sacramento Kings,Portland Trail Blazers,0.0,0.408,0.379,0.755,42.1,15.9,20.6,7.0,3.3,-18.2,96.7,115.0,0.525,0.5,0.477,0.31,0.889,42.7,17.5,17.5,8.3,4.4,1.0,107.8,105.3,0.579,0,10/25/2019
20,Denver Nuggets,Phoenix Suns,1.0,0.405,0.424,0.81,42.7,21.3,16.1,8.5,7.6,4.3,102.4,99.5,0.538,0.5,0.451,0.311,0.92,45.4,25.9,14.8,8.3,4.6,13.0,106.9,94.0,0.561,1,10/25/2019
21,Charlotte Hornets,Minnesota Timberwolves,0.5,0.477,0.479,0.619,39.3,25.6,18.5,4.3,4.3,-10.0,106.6,117.1,0.591,1.0,0.447,0.309,0.763,46.2,23.6,13.3,8.9,4.4,10.2,110.2,100.9,0.551,0,10/25/2019
22,Memphis Grizzlies,Chicago Bulls,0.0,0.421,0.246,0.68,43.6,20.9,19.1,7.7,5.9,-12.3,92.3,104.5,0.495,0.5,0.449,0.292,0.783,44.8,20.5,12.4,11.9,5.2,3.3,111.9,108.1,0.538,0,10/25/2019
23,New Orleans Pelicans,Dallas Mavericks,0.0,0.44,0.395,0.8,46.8,27.8,15.3,4.6,5.6,-6.9,110.2,115.5,0.552,1.0,0.473,0.329,0.78,45.7,19.2,14.9,6.7,5.8,7.2,111.1,103.8,0.592,0,10/25/2019
24,Oklahoma City Thunder,Washington Wizards,0.0,0.392,0.3,0.66,47.5,14.2,17.2,5.9,4.9,-8.3,88.2,95.6,0.475,0.5,0.4,0.268,0.821,45.0,22.5,15.3,7.2,4.3,1.9,94.3,93.2,0.487,0,10/25/2019
25,San Antonio Spurs,Washington Wizards,1.0,0.482,0.347,0.811,49.8,24.4,14.4,5.7,5.7,5.3,116.7,111.5,0.569,0.333,0.432,0.328,0.778,43.8,25.0,14.6,5.8,5.5,0.6,103.6,103.3,0.523,1,10/26/2019
26,Chicago Bulls,Toronto Raptors,0.333,0.4,0.28,0.746,44.0,19.3,13.0,10.8,4.1,-5.4,100.9,106.0,0.489,0.667,0.445,0.398,0.863,49.8,22.2,19.7,5.5,6.5,8.0,105.8,98.5,0.583,0,10/26/2019
27,New York Knicks,Boston Celtics,0.0,0.44,0.415,0.688,41.6,17.5,20.0,11.6,2.8,-11.3,98.4,109.7,0.539,0.667,0.401,0.333,0.684,46.1,20.3,11.0,9.0,6.1,4.8,104.2,100.0,0.494,0,10/26/2019
28,Phoenix Suns,LA Clippers,0.667,0.467,0.346,0.869,45.8,27.4,15.0,8.4,4.0,11.2,112.5,101.6,0.588,0.667,0.532,0.421,0.763,40.7,25.1,15.0,7.5,4.6,6.8,122.1,114.2,0.649,1,10/26/2019
29,Houston Rockets,New Orleans Pelicans,0.5,0.413,0.312,0.812,46.4,23.6,15.0,5.9,4.5,-1.4,107.7,109.1,0.553,0.0,0.447,0.382,0.804,43.7,26.6,15.3,5.8,4.3,-5.5,110.4,114.8,0.56,1,10/26/2019
30,Cleveland Cavaliers,Indiana Pacers,0.5,0.435,0.308,0.659,49.2,21.6,17.6,8.5,4.5,1.0,98.0,97.0,0.52,0.0,0.455,0.367,0.838,35.6,24.3,15.8,7.4,4.5,-9.9,103.5,113.4,0.543,1,10/26/2019
31,Detroit Pistons,Philadelphia 76ers,0.333,0.49,0.363,0.736,38.8,21.5,17.9,7.2,5.9,-4.6,107.5,110.6,0.591,1.0,0.459,0.317,0.697,46.9,25.4,18.3,9.4,4.7,9.4,105.2,96.7,0.557,0,10/26/2019
32,Milwaukee Bucks,Miami Heat,0.5,0.451,0.33,0.679,43.1,22.8,12.5,6.5,6.0,0.4,104.7,104.8,0.562,1.0,0.462,0.371,0.747,44.5,21.6,16.5,6.8,4.7,10.2,106.4,95.8,0.573,0,10/26/2019
33,Utah Jazz,Sacramento Kings,0.667,0.475,0.372,0.774,44.9,21.1,18.7,6.1,2.7,9.5,101.7,91.9,0.572,0.0,0.396,0.348,0.771,38.8,16.0,19.9,6.4,3.2,-22.8,92.3,115.1,0.504,1,10/26/2019
34,Atlanta Hawks,Orlando Magic,1.0,0.512,0.328,0.722,47.0,24.5,15.5,7.0,5.5,10.5,110.0,101.0,0.592,0.5,0.389,0.23,0.778,45.8,19.4,11.4,10.0,5.5,2.5,96.0,93.1,0.471,1,10/26/2019
35,Los Angeles Lakers,Charlotte Hornets,0.667,0.455,0.356,0.763,44.1,23.4,14.6,8.5,8.1,6.1,107.5,102.0,0.547,0.333,0.445,0.417,0.723,41.0,23.4,17.6,5.1,4.2,-12.8,104.5,117.3,0.559,1,10/27/2019
36,Dallas Mavericks,Portland Trail Blazers,0.667,0.445,0.302,0.78,44.6,21.2,13.6,6.6,4.7,4.1,110.8,107.0,0.57,0.667,0.49,0.338,0.873,43.5,15.7,16.6,7.3,4.2,1.3,109.6,106.9,0.591,0,10/27/2019
37,Minnesota Timberwolves,Miami Heat,1.0,0.441,0.302,0.761,45.7,23.5,14.0,9.8,3.4,9.1,111.0,102.1,0.551,0.667,0.472,0.388,0.733,42.9,22.4,18.2,6.8,5.9,5.0,105.9,100.9,0.58,1,10/27/2019
38,Memphis Grizzlies,Brooklyn Nets,0.333,0.444,0.309,0.72,43.0,23.4,16.0,7.7,6.8,-7.7,100.0,107.7,0.528,0.333,0.461,0.397,0.701,42.9,19.8,17.2,7.3,4.7,0.6,108.5,107.2,0.576,1,10/27/2019
39,Oklahoma City Thunder,Golden State Warriors,0.333,0.447,0.366,0.693,47.9,17.3,19.2,6.5,4.9,3.6,97.7,93.5,0.542,0.0,0.361,0.267,0.918,38.4,20.9,13.3,9.5,0.9,-22.3,101.4,124.9,0.491,1,10/27/2019
40,San Antonio Spurs,Portland Trail Blazers,1.0,0.482,0.338,0.788,48.6,24.0,15.1,5.4,6.6,4.4,112.6,107.5,0.57,0.5,0.462,0.327,0.857,43.7,16.1,14.7,6.4,5.0,0.2,107.1,106.4,0.563,1,10/28/2019
41,New York Knicks,Chicago Bulls,0.25,0.434,0.387,0.67,47.2,18.1,19.5,9.6,3.6,-7.0,101.2,108.2,0.529,0.25,0.405,0.275,0.761,43.1,19.5,12.4,9.7,4.4,-5.8,101.5,107.0,0.496,1,10/28/2019
42,Phoenix Suns,Utah Jazz,0.5,0.454,0.355,0.832,44.1,26.2,15.1,8.0,3.8,8.3,107.5,99.5,0.574,0.75,0.453,0.359,0.793,45.6,20.4,19.6,6.5,3.3,7.3,99.5,92.0,0.565,0,10/28/2019
43,LA Clippers,Charlotte Hornets,0.75,0.52,0.406,0.789,41.4,24.5,16.7,8.3,5.4,8.8,119.1,109.5,0.638,0.25,0.442,0.401,0.722,40.2,23.5,18.6,5.1,3.9,-13.3,102.2,115.5,0.554,1,10/28/2019
44,Houston Rockets,Oklahoma City Thunder,0.667,0.42,0.285,0.824,44.0,22.6,14.6,5.9,5.0,0.3,109.3,109.0,0.553,0.25,0.444,0.368,0.697,48.5,18.3,18.0,6.6,4.4,1.7,100.5,98.3,0.54,1,10/28/2019
45,Detroit Pistons,Indiana Pacers,0.5,0.481,0.404,0.752,41.4,21.6,18.6,6.0,5.2,-3.0,105.7,107.6,0.584,0.0,0.441,0.343,0.82,39.3,24.5,13.4,8.7,4.4,-7.4,101.7,109.1,0.519,1,10/28/2019
46,Milwaukee Bucks,Cleveland Cavaliers,0.667,0.474,0.362,0.675,44.5,24.3,12.2,7.1,6.2,5.3,110.4,105.0,0.583,0.333,0.44,0.308,0.696,47.9,20.3,15.4,6.2,3.9,-4.9,100.7,105.9,0.525,1,10/28/2019
47,Atlanta Hawks,Philadelphia 76ers,0.667,0.484,0.33,0.706,45.4,23.5,17.0,8.5,4.6,6.2,105.6,100.3,0.569,1.0,0.446,0.298,0.725,46.7,23.8,19.1,10.0,6.6,6.9,103.1,96.8,0.548,0,10/28/2019
48,Sacramento Kings,Denver Nuggets,0.0,0.396,0.341,0.744,41.8,18.6,18.6,6.4,4.5,-19.3,94.6,113.6,0.498,1.0,0.391,0.368,0.833,47.4,21.1,15.1,8.6,6.9,5.3,104.3,100.3,0.515,0,10/28/2019
49,Toronto Raptors,Orlando Magic,0.75,0.431,0.363,0.883,49.8,21.2,18.8,6.3,5.3,8.1,104.2,96.7,0.57,0.333,0.387,0.26,0.794,45.6,20.0,12.8,9.5,5.6,-1.3,94.4,95.1,0.477,1,10/28/2019
50,New Orleans Pelicans,Golden State Warriors,0.0,0.452,0.366,0.726,42.1,28.1,14.9,7.3,4.8,-6.6,110.8,116.6,0.556,0.333,0.407,0.309,0.871,44.2,25.2,14.3,8.7,1.2,-11.2,108.4,120.4,0.523,0,10/28/2019
51,Los Angeles Lakers,Memphis Grizzlies,0.75,0.457,0.336,0.796,45.4,23.2,15.1,8.4,7.9,11.6,107.9,96.8,0.556,0.25,0.415,0.281,0.776,42.7,22.1,16.8,8.1,5.8,-12.3,95.7,108.1,0.505,1,10/29/2019
52,Miami Heat,Atlanta Hawks,0.75,0.468,0.395,0.733,43.8,21.3,20.2,7.6,5.8,7.2,106.1,99.1,0.585,0.5,0.469,0.315,0.696,42.0,24.4,17.6,9.8,5.1,1.0,102.4,102.0,0.556,1,10/29/2019
53,Denver Nuggets,Dallas Mavericks,0.75,0.412,0.362,0.814,48.9,22.2,14.4,8.1,5.5,3.3,106.5,104.3,0.523,0.75,0.455,0.313,0.742,44.7,23.5,12.7,6.6,4.9,3.9,112.2,108.6,0.572,0,10/29/2019
54,Philadelphia 76ers,Minnesota Timberwolves,1.0,0.452,0.31,0.739,47.8,23.3,19.3,10.7,6.3,10.3,104.0,94.1,0.551,0.75,0.431,0.298,0.758,42.0,20.3,15.5,10.3,3.9,1.8,104.8,103.2,0.542,1,10/30/2019
55,Golden State Warriors,Phoenix Suns,0.25,0.414,0.304,0.86,43.2,24.5,15.0,8.4,2.3,-11.0,107.0,118.5,0.532,0.6,0.455,0.368,0.836,43.7,27.1,15.3,8.7,3.8,8.7,108.7,100.2,0.574,0,10/30/2019
56,Brooklyn Nets,Indiana Pacers,0.25,0.456,0.381,0.683,45.3,20.0,17.8,7.0,4.7,-1.8,108.1,109.2,0.562,0.25,0.448,0.365,0.829,39.5,24.5,12.3,8.8,3.8,-3.0,105.3,108.5,0.53,0,10/30/2019
57,Boston Celtics,Milwaukee Bucks,0.75,0.411,0.356,0.71,45.7,21.4,10.7,7.8,5.6,6.3,106.8,100.7,0.513,0.5,0.471,0.35,0.663,44.4,23.5,12.8,6.2,5.7,1.6,108.7,107.3,0.58,1,10/30/2019
58,Orlando Magic,New York Knicks,0.5,0.395,0.288,0.787,48.5,21.6,12.2,8.6,5.8,2.0,97.2,94.7,0.485,0.2,0.423,0.352,0.674,47.6,18.7,18.3,8.1,5.0,-8.1,99.8,107.9,0.515,1,10/30/2019
59,Cleveland Cavaliers,Chicago Bulls,0.5,0.46,0.328,0.736,48.0,21.6,16.4,5.5,4.7,-2.2,105.5,107.7,0.552,0.2,0.411,0.293,0.774,41.1,20.6,11.4,9.0,4.5,-5.9,103.7,109.6,0.507,1,10/30/2019
