,HOME_TEAM,AWAY_TEAM,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,RESULT,DATE
0,Golden State Warriors,Oklahoma City Thunder,1.0,0.442,0.269,0.944,56.3,27.2,20.4,6.8,6.8,7.8,104.9,97.1,0.525,0.0,0.363,0.27,0.649,43.7,20.4,14.6,11.7,5.8,-7.8,97.1,104.9,0.466,1,10/16/2018
1,Boston Celtics,Philadelphia 76ers,1.0,0.433,0.297,0.714,52.4,20.0,14.3,6.7,4.8,17.1,100.0,82.1,0.509,0.0,0.391,0.192,0.609,44.3,17.0,15.1,7.5,4.7,-17.0,82.1,100.0,0.448,1,10/16/2018
2,San Antonio Spurs,Minnesota Timberwolves,1.0,0.43,0.44,0.724,53.1,22.4,12.2,3.1,4.1,4.1,114.3,112.5,0.53,0.0,0.429,0.316,0.889,47.9,20.8,11.5,9.4,2.1,-4.2,112.5,114.3,0.525,1,10/17/2018
3,New York Knicks,Atlanta Hawks,1.0,0.455,0.364,0.774,41.1,18.8,14.3,10.7,5.4,17.0,112.5,94.7,0.559,0.0,0.456,0.278,0.833,39.8,16.8,21.2,6.2,2.7,-16.8,94.7,112.5,0.546,1,10/17/2018
4,Phoenix Suns,Dallas Mavericks,1.0,0.543,0.559,0.875,46.3,36.8,12.6,5.3,2.1,22.1,127.4,105.3,0.687,0.0,0.432,0.303,0.7,40.0,29.5,9.5,7.4,5.3,-22.1,105.3,127.4,0.517,1,10/17/2018
5,LA Clippers,Denver Nuggets,0.0,0.398,0.286,0.833,44.8,20.0,13.3,2.9,8.6,-8.6,93.3,102.9,0.497,1.0,0.379,0.333,0.786,53.8,19.2,10.6,5.8,8.7,8.7,102.9,93.3,0.507,0,10/17/2018
6,Orlando Magic,Miami Heat,1.0,0.415,0.28,0.613,49.5,19.4,11.7,6.8,6.8,2.9,101.0,98.1,0.483,0.0,0.392,0.273,0.727,50.5,15.5,16.5,3.9,4.9,-2.9,98.1,101.0,0.473,1,10/17/2018
7,Houston Rockets,New Orleans Pelicans,0.0,0.424,0.333,0.75,35.6,20.2,11.5,7.7,6.7,-18.3,107.7,124.8,0.546,1.0,0.531,0.4,0.773,51.4,34.3,11.4,7.6,2.9,18.1,124.8,107.7,0.608,0,10/17/2018
8,Detroit Pistons,Brooklyn Nets,1.0,0.424,0.25,0.864,46.0,21.0,17.0,5.0,5.0,3.0,103.0,99.0,0.506,0.0,0.488,0.185,0.682,38.6,27.7,18.8,8.9,5.0,-3.0,99.0,103.0,0.545,1,10/17/2018
9,Indiana Pacers,Memphis Grizzlies,1.0,0.566,0.385,0.538,59.4,30.2,20.8,2.1,7.3,29.2,115.6,87.4,0.626,0.0,0.298,0.345,0.821,29.5,16.8,10.5,11.6,3.2,-29.5,87.4,115.6,0.431,1,10/17/2018
