,HOME_TEAM,AWAY_TEAM,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,RESULT,DATE
21,New York Knicks,Philadelphia 76ers,0.0,0.423,0.351,0.739,41.7,22.1,16.1,7.0,6.0,-17.1,98.5,113.9,0.521,1.0,0.469,0.322,0.75,46.3,20.7,14.8,9.9,6.9,12.8,109.4,97.5,0.561,0,12/26/2020
22,Detroit Pistons,Cleveland Cavaliers,0.0,0.445,0.3,0.65,44.7,23.5,17.3,6.2,3.1,-8.4,97.3,105.8,0.527,1.0,0.505,0.45,0.68,44.5,27.8,17.6,11.0,3.1,7.0,109.7,103.1,0.599,0,12/26/2020
23,Portland Trail Blazers,Houston Rockets,0.5,0.433,0.397,0.725,40.9,24.0,9.6,7.7,3.8,-8.7,109.6,118.8,0.539,0.0,0.517,0.314,0.781,39.3,25.2,15.0,4.7,4.7,-1.9,117.8,117.4,0.623,1,12/26/2020
24,Utah Jazz,Minnesota Timberwolves,0.5,0.42,0.345,0.786,56.6,19.0,14.6,3.9,3.4,7.3,112.7,105.9,0.543,1.0,0.439,0.343,0.804,42.7,22.3,10.7,7.3,4.9,7.3,110.2,102.4,0.542,0,12/26/2020
25,Sacramento Kings,Phoenix Suns,1.0,0.447,0.278,0.734,51.4,22.0,15.4,4.2,7.5,2.3,107.5,104.2,0.532,0.5,0.446,0.297,0.725,42.5,22.2,14.5,7.2,5.8,0.5,101.0,101.0,0.537,1,12/26/2020
26,Charlotte Hornets,Oklahoma City Thunder,0.0,0.448,0.382,0.596,38.0,26.9,13.5,10.1,5.8,-4.3,106.3,111.1,0.543,1.0,0.455,0.278,0.792,51.4,23.8,16.2,9.5,6.7,1.9,103.8,100.9,0.553,0,12/26/2020
27,Washington Wizards,Orlando Magic,0.0,0.472,0.406,0.608,38.4,25.9,15.7,5.6,3.2,-7.4,105.1,111.5,0.561,1.0,0.492,0.356,0.712,43.8,22.1,14.7,10.6,1.4,7.4,112.0,105.6,0.581,0,12/26/2020
28,Memphis Grizzlies,Atlanta Hawks,0.0,0.457,0.329,0.766,41.1,22.0,9.8,5.1,6.5,-10.3,107.9,118.2,0.553,1.0,0.479,0.38,0.851,47.4,22.3,18.0,4.7,3.8,14.2,116.6,101.9,0.62,0,12/26/2020
29,Los Angeles Lakers,Minnesota Timberwolves,0.667,0.531,0.398,0.753,46.0,27.8,16.9,6.1,6.4,16.6,119.5,103.5,0.636,0.667,0.414,0.286,0.767,43.6,22.4,12.8,8.3,5.1,-6.7,101.9,108.3,0.499,1,12/27/2020
30,Chicago Bulls,Golden State Warriors,0.0,0.432,0.357,0.821,40.0,21.2,18.5,6.4,4.8,-12.1,102.4,115.6,0.562,0.333,0.374,0.304,0.808,39.1,19.4,12.2,8.4,4.8,-19.1,97.6,116.0,0.486,0,12/27/2020
31,New York Knicks,Milwaukee Bucks,0.333,0.462,0.429,0.767,43.3,23.8,16.1,6.4,5.4,-4.7,109.4,112.6,0.572,0.333,0.498,0.376,0.74,50.2,21.9,14.5,5.5,4.8,5.8,118.6,114.0,0.601,1,12/27/2020
32,LA Clippers,Dallas Mavericks,0.667,0.457,0.333,0.81,38.8,22.8,17.3,7.1,3.1,-10.5,105.4,115.6,0.573,0.333,0.471,0.327,0.823,40.1,20.7,9.7,9.7,1.7,8.0,114.0,105.7,0.588,0,12/27/2020
33,Cleveland Cavaliers,Philadelphia 76ers,1.0,0.513,0.434,0.712,44.5,28.7,17.1,11.6,4.0,12.2,111.9,100.3,0.6,0.667,0.453,0.323,0.743,43.9,21.8,17.2,9.6,6.3,0.7,104.3,104.0,0.551,1,12/27/2020
34,Indiana Pacers,Boston Celtics,1.0,0.52,0.279,0.698,43.0,26.9,14.2,10.1,6.3,10.8,112.0,101.6,0.585,0.333,0.45,0.389,0.722,41.3,22.3,13.3,9.0,6.0,-9.3,108.0,116.9,0.537,1,12/27/2020
35,Sacramento Kings,Phoenix Suns,0.667,0.455,0.325,0.73,47.8,21.8,15.4,4.5,6.4,-3.5,105.8,108.3,0.544,0.667,0.461,0.33,0.765,43.1,26.1,12.7,6.9,4.9,5.6,106.2,101.3,0.554,0,12/27/2020
